"varOnly"	"varInFile"	"min"	"max"	"absMax"	"scale"	"scale.factorAtt"
"SWUPBC"	"SWUPBC_d02_wrfextr_CESM"	0	203.168121	203.168121	"100"	"0.01"
"SWUPBC"	"SWUPBC_d02_wrfextr_CNRM"	0	205.324219	205.324219	"100"	"0.01"
"SWUPB"	"SWUPB_d02_wrfextr_CESM"	0	203.168121	203.168121	"100"	"0.01"
"SWUPB"	"SWUPB_d02_wrfextr_CNRM"	0	201.441483	201.441483	"100"	"0.01"
"SWUPTC"	"SWUPTC_d02_wrfextr_CESM"	0	226.909286	226.909286	"100"	"0.01"
"SWUPTC"	"SWUPTC_d02_wrfextr_CNRM"	0	229.405533	229.405533	"100"	"0.01"
"SWUPT"	"SWUPT_d02_wrfextr_CESM"	0	1084.431641	1084.431641	"10"	"0.1"
"SWUPT"	"SWUPT_d02_wrfextr_CNRM"	0	1082.725708	1082.725708	"10"	"0.1"
"T2"	"T2_d02_wrfextr_CESM"	281.85083	312.007446	312.007446	"100"	"0.01"
"T2"	"T2_d02_wrfextr_CNRM"	282.237335	311.603699	311.603699	"100"	"0.01"
"T700"	"T700_d02_wrfextr_CESM"	269.654755	291.853394	291.853394	"100"	"0.01"
"T700"	"T700_d02_wrfextr_CNRM"	271.792969	290.471161	290.471161	"100"	"0.01"
"T850"	"T850_d02_wrfextr_CESM"	279.119659	299.020599	299.020599	"100"	"0.01"
"T850"	"T850_d02_wrfextr_CNRM"	277.617371	298.165222	298.165222	"100"	"0.01"
"TLML"	"TLML_d02_wrfextr_CESM"	285.68161	309.961121	309.961121	"100"	"0.01"
"TLML"	"TLML_d02_wrfextr_CNRM"	284.384827	309.434479	309.434479	"100"	"0.01"
"TSK"	"TSK_d02_wrfextr_CESM"	274.169312	335.261139	335.261139	"10"	"0.1"
"TSK"	"TSK_d02_wrfextr_CNRM"	277.999878	333.247192	333.247192	"10"	"0.1"
"UE10"	"UE10_d02_wrfextr_CESM"	-16.997946	11.066427	11.066427	"1000"	"0.001"
"UE10"	"UE10_d02_wrfextr_CNRM"	-20.132107	19.691322	19.691322	"1000"	"0.001"
"UE700"	"UE700_d02_wrfextr_CESM"	-31.203012	22.274763	22.274763	"1000"	"0.001"
"UE700"	"UE700_d02_wrfextr_CNRM"	-28.882175	28.558769	28.558769	"1000"	"0.001"
"UE850"	"UE850_d02_wrfextr_CESM"	-22.871778	15.849378	15.849378	"1000"	"0.001"
"UE850"	"UE850_d02_wrfextr_CNRM"	-25.148506	23.33357	23.33357	"1000"	"0.001"
"VE10"	"VE10_d02_wrfextr_CESM"	-14.964728	13.158673	13.158673	"1000"	"0.001"
"VE10"	"VE10_d02_wrfextr_CNRM"	-17.093933	20.073973	20.073973	"1000"	"0.001"
"VE700"	"VE700_d02_wrfextr_CESM"	-19.681437	17.264191	17.264191	"1000"	"0.001"
"VE700"	"VE700_d02_wrfextr_CNRM"	-35.697353	28.182428	28.182428	"1000"	"0.001"
"VE850"	"VE850_d02_wrfextr_CESM"	-15.802749	18.785372	18.785372	"1000"	"0.001"
"VE850"	"VE850_d02_wrfextr_CNRM"	-28.730013	29.158432	29.158432	"1000"	"0.001"
"W700"	"W700_d02_wrfextr_CESM"	-4.043023	5.997577	5.997577	"1000"	"0.001"
"W700"	"W700_d02_wrfextr_CNRM"	-3.433065	5.310092	5.310092	"1000"	"0.001"
"W850"	"W850_d02_wrfextr_CESM"	-2.966007	3.388413	3.388413	"1000"	"0.001"
"W850"	"W850_d02_wrfextr_CNRM"	-1.698423	2.535706	2.535706	"10000"	"0.0001"
"Z850"	"Z850_d02_wrfextr_CESM"	1447.581787	1631.462402	1631.462402	"10"	"0.1"
"Z850"	"Z850_d02_wrfextr_CNRM"	1319.875	1675.691406	1675.691406	"10"	"0.1"
