"varOnly"	"varInFile"	"min"	"max"	"absMax"	"scale"	"scale.factorAtt"
"KE"	"KE_d01_wrfextr_CESM"	345.522461	14745601	14745601	"100"	"0.01"
"KE"	"KE_d01_wrfextr_CNRM"	6713.595703	16624645	16624645	"100"	"0.01"
"PBLH"	"PBLH_d01_wrfextr_CESM"	0.135804	4162.216309	4162.216309	"100000"	"0.00001"
"PBLH"	"PBLH_d01_wrfextr_CNRM"	0	6084.867188	6084.867188	"100000"	"0.00001"
"PWAT"	"PWAT_d01_wrfextr_CESM"	0.915718	3278869.25	3278869.25	"100"	"0.01"
"Z700"	"Z700_d01_wrfextr_CESM"	-0.036749	3329.58667	3329.58667	"100000"	"0.00001"
"Z700"	"Z700_d01_wrfextr_CNRM"	2794.285889	3293.416016	3293.416016	"100000"	"0.00001"
