"varOnly"	"varInFile"	"min"	"max"	"absMax"	"scale"	"scale.factorAtt"
"CICELO"	"CICELO_d03_wrfextr_CESM"	0	85.143204	85.143204	"100"	"0.01"
"CICELO"	"CICELO_d03_wrfextr_CNRM"	0	138.06955	138.06955	"100"	"0.01"
"CLDFLO"	"CLDFLO_d03_wrfextr_CESM"	0	1	1	"10000"	"0.0001"
"CLDFLO"	"CLDFLO_d03_wrfextr_CNRM"	0	1	1	"10000"	"0.0001"
"CLDFRA700"	"CLDFRA700_d03_wrfextr_CESM"	0	1	1	"10000"	"0.0001"
"CLDFRA700"	"CLDFRA700_d03_wrfextr_CNRM"	0	1	1	"10000"	"0.0001"
"CLDFRA850"	"CLDFRA850_d03_wrfextr_CESM"	0	1	1	"10000"	"0.0001"
"CLDFRA850"	"CLDFRA850_d03_wrfextr_CNRM"	0	1	1	"10000"	"0.0001"
"HFX"	"HFX_d03_wrfextr_CESM"	-455.49469	840.955627	840.955627	"10"	"0.1"
"HFX"	"HFX_d03_wrfextr_CNRM"	-572.818726	803.243103	803.243103	"10"	"0.1"
"LH"	"LH_d03_wrfextr_CESM"	-206.806976	1109.788574	1109.788574	"10"	"0.1"
"LH"	"LH_d03_wrfextr_CNRM"	-59.738487	977.071594	977.071594	"10"	"0.1"
"LWDNBC"	"LWDNBC_d03_wrfextr_CESM"	250.009308	453.321075	453.321075	"10"	"0.1"
"LWDNBC"	"LWDNBC_d03_wrfextr_CNRM"	0	451.185791	451.185791	"10"	"0.1"
"LWDNB"	"LWDNB_d03_wrfextr_CESM"	250.009308	484.364746	484.364746	"10"	"0.1"
"LWDNB"	"LWDNB_d03_wrfextr_CNRM"	0	477.433472	477.433472	"10"	"0.1"
"LWDNT"	"LWDNT_d03_wrfextr_CESM"	6.531157	11.032782	11.032782	"1000"	"0.001"
"LWDNT"	"LWDNT_d03_wrfextr_CNRM"	0	11.634556	11.634556	"1000"	"0.001"
"LWUPB"	"LWUPB_d03_wrfextr_CESM"	299.890137	675.209351	675.209351	"10"	"0.1"
"LWUPB"	"LWUPB_d03_wrfextr_CNRM"	0	671.265747	671.265747	"10"	"0.1"
"LWUPTC"	"LWUPTC_d03_wrfextr_CESM"	242.160446	351.99939	351.99939	"10"	"0.1"
"LWUPTC"	"LWUPTC_d03_wrfextr_CNRM"	0	351.832001	351.832001	"10"	"0.1"
"LWUPT"	"LWUPT_d03_wrfextr_CESM"	88.364479	351.99939	351.99939	"10"	"0.1"
"LWUPT"	"LWUPT_d03_wrfextr_CNRM"	0	351.832001	351.832001	"10"	"0.1"
"PBLH"	"PBLH_d03_wrfextr_CESM"	20.124512	2952.559814	2952.559814	"10"	"0.1"
"PSFC"	"PSFC_d03_wrfextr_CESM"	891.921387	1026.000854	1026.000854	"10"	"0.1"
"PSFC"	"PSFC_d03_wrfextr_CNRM"	879.663269	1026.753784	1026.753784	"10"	"0.1"
"PWAT"	"PWAT_d03_wrfextr_CESM"	2.585461	86.08902	86.08902	"100"	"0.01"
"PWAT"	"PWAT_d03_wrfextr_CNRM"	2.206729	81.190155	81.190155	"100"	"0.01"
"Q2"	"Q2_d03_wrfextr_CESM"	0.001575	0.034358	0.034358	"100000"	"0.00001"
"Q2"	"Q2_d03_wrfextr_CNRM"	0.002729	0.03502	0.03502	"100000"	"0.00001"
"Q700"	"Q700_d03_wrfextr_CESM"	0	0.013723	0.013723	"1000000"	"0.000001"
"Q700"	"Q700_d03_wrfextr_CNRM"	0	0.013447	0.013447	"1000000"	"0.000001"
"Q850"	"Q850_d03_wrfextr_CESM"	0.00004	0.018258	0.018258	"1000000"	"0.000001"
"Q850"	"Q850_d03_wrfextr_CNRM"	0.000004	0.017792	0.017792	"1000000"	"0.000001"
"QLML"	"QLML_d03_wrfextr_CESM"	0.002473	0.023261	0.023261	"1000000"	"0.000001"
"QLML"	"QLML_d03_wrfextr_CNRM"	0.002649	0.023235	0.023235	"1000000"	"0.000001"
"RC"	"RC_d03_wrfextr_CESM"	0	21.108063	21.108063	"1000"	"0.001"
"RC"	"RC_d03_wrfextr_CNRM"	0	32.02594	32.02594	"1000"	"0.001"
"RN"	"RN_d03_wrfextr_CESM"	0	233.088257	233.088257	"100"	"0.01"
"RN"	"RN_d03_wrfextr_CNRM"	0	194.27417	194.27417	"100"	"0.01"
"SLP"	"SLP_d03_wrfextr_CESM"	1010.684998	1029.653809	1029.653809	"10"	"0.1"
"SLP"	"SLP_d03_wrfextr_CNRM"	994.57843	1032.029175	1032.029175	"10"	"0.1"
"SMBOT"	"SMBOT_d03_wrfextr_CESM"	0.066966	1	1	"10000"	"0.0001"
"SMBOT"	"SMBOT_d03_wrfextr_CNRM"	0.005	1	1	"10000"	"0.0001"
"SMTOP"	"SMTOP_d03_wrfextr_CESM"	0.066841	1	1	"10000"	"0.0001"
"SMTOP"	"SMTOP_d03_wrfextr_CNRM"	0.005	1	1	"10000"	"0.0001"
"STBOT"	"STBOT_d03_wrfextr_CESM"	171.672668	302.614166	302.614166	"100"	"0.01"
