"varOnly"	"varInFile"	"min"	"max"	"absMax"	"scale"	"scale.factorAtt"
"STBOT"	"STBOT_d03_wrfextr_CNRM"	273.160004	301.851593	301.851593	"100"	"0.01"
"STTOP"	"STTOP_d03_wrfextr_CESM"	263.459503	317.755463	317.755463	"100"	"0.01"
"STTOP"	"STTOP_d03_wrfextr_CNRM"	282.206146	316.166565	316.166565	"100"	"0.01"
"SWDNBC"	"SWDNBC_d03_wrfextr_CESM"	0	1510.174194	1510.174194	"10"	"0.1"
"SWDNBC"	"SWDNBC_d03_wrfextr_CNRM"	0	2043.100586	2043.100586	"10"	"0.1"
"SWDNB"	"SWDNB_d03_wrfextr_CESM"	0	1506.852539	1506.852539	"10"	"0.1"
"SWDNB"	"SWDNB_d03_wrfextr_CNRM"	0	2036.833862	2036.833862	"10"	"0.1"
"SWDNT"	"SWDNT_d03_wrfextr_CESM"	0	1344.50293	1344.50293	"10"	"0.1"
"SWDNT"	"SWDNT_d03_wrfextr_CNRM"	0	1344.503052	1344.503052	"10"	"0.1"
"SWUPBC"	"SWUPBC_d03_wrfextr_CESM"	0	215.850098	215.850098	"100"	"0.01"
"SWUPBC"	"SWUPBC_d03_wrfextr_CNRM"	0	216.336548	216.336548	"100"	"0.01"
"SWUPB"	"SWUPB_d03_wrfextr_CESM"	0	214.491714	214.491714	"100"	"0.01"
"SWUPB"	"SWUPB_d03_wrfextr_CNRM"	0	213.982147	213.982147	"100"	"0.01"
"SWUPTC"	"SWUPTC_d03_wrfextr_CESM"	0	268.52066	268.52066	"100"	"0.01"
"SWUPTC"	"SWUPTC_d03_wrfextr_CNRM"	0	398.105774	398.105774	"10"	"0.1"
"SWUPT"	"SWUPT_d03_wrfextr_CESM"	0	1186.837036	1186.837036	"10"	"0.1"
"SWUPT"	"SWUPT_d03_wrfextr_CNRM"	0	1106.221191	1106.221191	"10"	"0.1"
"T2"	"T2_d03_wrfextr_CESM"	278.891907	311.817688	311.817688	"100"	"0.01"
"T2"	"T2_d03_wrfextr_CNRM"	280.685638	310.721466	310.721466	"100"	"0.01"
"T700"	"T700_d03_wrfextr_CESM"	271.758423	291.981384	291.981384	"100"	"0.01"
"T700"	"T700_d03_wrfextr_CNRM"	271.872101	293.007935	293.007935	"100"	"0.01"
"T850"	"T850_d03_wrfextr_CESM"	280.125031	301.729034	301.729034	"100"	"0.01"
"T850"	"T850_d03_wrfextr_CNRM"	278.603882	302.51236	302.51236	"100"	"0.01"
"TLML"	"TLML_d03_wrfextr_CESM"	284.505737	309.814362	309.814362	"100"	"0.01"
"TLML"	"TLML_d03_wrfextr_CNRM"	282.844086	308.778442	308.778442	"100"	"0.01"
"TSK"	"TSK_d03_wrfextr_CESM"	269.478241	332.794037	332.794037	"10"	"0.1"
"TSK"	"TSK_d03_wrfextr_CNRM"	276.475128	332.481384	332.481384	"10"	"0.1"
"UE10"	"UE10_d03_wrfextr_CESM"	-21.599573	15.644769	15.644769	"1000"	"0.001"
"UE10"	"UE10_d03_wrfextr_CNRM"	-23.51656	19.833303	19.833303	"1000"	"0.001"
"UE700"	"UE700_d03_wrfextr_CESM"	-29.796791	19.401518	19.401518	"1000"	"0.001"
"UE700"	"UE700_d03_wrfextr_CNRM"	-29.033222	29.291355	29.291355	"1000"	"0.001"
"UE850"	"UE850_d03_wrfextr_CESM"	-29.4163	15.848249	15.848249	"1000"	"0.001"
"UE850"	"UE850_d03_wrfextr_CNRM"	-26.942232	26.401978	26.401978	"1000"	"0.001"
"VE10"	"VE10_d03_wrfextr_CESM"	-21.008766	16.852386	16.852386	"1000"	"0.001"
"VE10"	"VE10_d03_wrfextr_CNRM"	-22.271076	23.584749	23.584749	"1000"	"0.001"
"VE700"	"VE700_d03_wrfextr_CESM"	-23.768133	21.754192	21.754192	"1000"	"0.001"
"VE700"	"VE700_d03_wrfextr_CNRM"	-35.544018	31.414782	31.414782	"1000"	"0.001"
"VE850"	"VE850_d03_wrfextr_CESM"	-25.464193	25.296629	25.296629	"1000"	"0.001"
"VE850"	"VE850_d03_wrfextr_CNRM"	-28.494078	37.783649	37.783649	"100"	"0.01"
"W700"	"W700_d03_wrfextr_CESM"	-9.253358	17.243032	17.243032	"1000"	"0.001"
"W700"	"W700_d03_wrfextr_CNRM"	-8.485706	20.377352	20.377352	"1000"	"0.001"
"W850"	"W850_d03_wrfextr_CESM"	-7.710567	10.552293	10.552293	"1000"	"0.001"
"W850"	"W850_d03_wrfextr_CNRM"	-6.861678	15.175508	15.175508	"1000"	"0.001"
"Z700"	"Z700_d03_wrfextr_CESM"	3048.331543	3272.469727	3272.469727	"10"	"0.1"
"Z700"	"Z700_d03_wrfextr_CNRM"	2963.478516	3264.31958	3264.31958	"10"	"0.1"
"Z850"	"Z850_d03_wrfextr_CESM"	1456.687012	1617.69519	1617.69519	"10"	"0.1"
"Z850"	"Z850_d03_wrfextr_CNRM"	1331.814697	1636.104248	1636.104248	"10"	"0.1"
