"varOnly"	"varInFile"	"min"	"max"	"absMax"	"scale"	"scale.factorAtt"
"CICELO"	"CICELO_d01_wrfextr_CESM"	0	139.710693	139.710693	"100"	"0.01"
"CICELO"	"CICELO_d01_wrfextr_CNRM"	0	232.105148	232.105148	"100"	"0.01"
"CLDFLO"	"CLDFLO_d01_wrfextr_CESM"	0	39.242897	39.242897	"100"	"0.01"
"CLDFLO"	"CLDFLO_d01_wrfextr_CNRM"	0	1	1	"10000"	"0.0001"
"CLDFRA700"	"CLDFRA700_d01_wrfextr_CESM"	0	3146.702637	3146.702637	"10"	"0.1"
"CLDFRA700"	"CLDFRA700_d01_wrfextr_CNRM"	0	1	1	"10000"	"0.0001"
"CLDFRA850"	"CLDFRA850_d01_wrfextr_CESM"	0	1546.276123	1546.276123	"10"	"0.1"
"CLDFRA850"	"CLDFRA850_d01_wrfextr_CNRM"	0	1	1	"10000"	"0.0001"
"CLIQLO"	"CLIQLO_d01_wrfextr_CESM"	0	1201.943115	1201.943115	"10"	"0.1"
"CLIQLO"	"CLIQLO_d01_wrfextr_CNRM"	0	1057.480713	1057.480713	"10"	"0.1"
"HFX"	"HFX_d01_wrfextr_CESM"	-1253.654785	1564.672119	1564.672119	"10"	"0.1"
"HFX"	"HFX_d01_wrfextr_CNRM"	-1109.532104	1122.029541	1122.029541	"10"	"0.1"
"LH"	"LH_d01_wrfextr_CESM"	-149.413773	2033.947021	2033.947021	"10"	"0.1"
"LH"	"LH_d01_wrfextr_CNRM"	-94.37056	2026.083008	2026.083008	"10"	"0.1"
"LWDNBC"	"LWDNBC_d01_wrfextr_CESM"	178.24646	477.324402	477.324402	"10"	"0.1"
"LWDNBC"	"LWDNBC_d01_wrfextr_CNRM"	0	473.374115	473.374115	"10"	"0.1"
"LWDNB"	"LWDNB_d01_wrfextr_CESM"	178.24646	495.520386	495.520386	"10"	"0.1"
"LWDNB"	"LWDNB_d01_wrfextr_CNRM"	0	492.832123	492.832123	"10"	"0.1"
"LWDNT"	"LWDNT_d01_wrfextr_CESM"	5.497523	290.063019	290.063019	"100"	"0.01"
"LWDNT"	"LWDNT_d01_wrfextr_CNRM"	0	13.932266	13.932266	"1000"	"0.001"
"LWUPB"	"LWUPB_d01_wrfextr_CESM"	8.571507	726.006409	726.006409	"10"	"0.1"
"LWUPB"	"LWUPB_d01_wrfextr_CNRM"	0	753.806519	753.806519	"10"	"0.1"
"LWUPTC"	"LWUPTC_d01_wrfextr_CESM"	0	762.525146	762.525146	"10"	"0.1"
"LWUPTC"	"LWUPTC_d01_wrfextr_CNRM"	0	376.916016	376.916016	"10"	"0.1"
"LWUPT"	"LWUPT_d01_wrfextr_CESM"	0	762.525146	762.525146	"10"	"0.1"
"LWUPT"	"LWUPT_d01_wrfextr_CNRM"	0	376.916016	376.916016	"10"	"0.1"
"PSFC"	"PSFC_d01_wrfextr_CESM"	0	1040.939331	1040.939331	"10"	"0.1"
"PSFC"	"PSFC_d01_wrfextr_CNRM"	728.72583	1041.934692	1041.934692	"10"	"0.1"
"PWAT"	"PWAT_d01_wrfextr_CNRM"	1.101694	84.587456	84.587456	"100"	"0.01"
"Q2"	"Q2_d01_wrfextr_CESM"	-0.002832	299.1698	299.1698	"100"	"0.01"
"Q2"	"Q2_d01_wrfextr_CNRM"	0.000996	0.068159	0.068159	"100000"	"0.00001"
"Q700"	"Q700_d01_wrfextr_CESM"	0	0.014651	0.014651	"1000000"	"0.000001"
"Q700"	"Q700_d01_wrfextr_CNRM"	0	0.014592	0.014592	"1000000"	"0.000001"
"Q850"	"Q850_d01_wrfextr_CESM"	0	0.021068	0.021068	"1000000"	"0.000001"
"Q850"	"Q850_d01_wrfextr_CNRM"	0	0.019622	0.019622	"1000000"	"0.000001"
"QLML"	"QLML_d01_wrfextr_CESM"	0.00027	298.862152	298.862152	"100"	"0.01"
"QLML"	"QLML_d01_wrfextr_CNRM"	0	0.027102	0.027102	"1000000"	"0.000001"
"RC"	"RC_d01_wrfextr_CESM"	-7.003095	18.518097	18.518097	"1000"	"0.001"
"RC"	"RC_d01_wrfextr_CNRM"	0	35.34967	35.34967	"100"	"0.01"
"RN"	"RN_d01_wrfextr_CESM"	0	72.389008	72.389008	"100"	"0.01"
"RN"	"RN_d01_wrfextr_CNRM"	0	52.902466	52.902466	"100"	"0.01"
"SLP"	"SLP_d01_wrfextr_CESM"	984.798584	1043.568604	1043.568604	"10"	"0.1"
"SLP"	"SLP_d01_wrfextr_CNRM"	986.643311	1044.46167	1044.46167	"10"	"0.1"
"SMBOT"	"SMBOT_d01_wrfextr_CESM"	0.02	1	1	"10000"	"0.0001"
"SMBOT"	"SMBOT_d01_wrfextr_CNRM"	0.005	1	1	"10000"	"0.0001"
"SMTOP"	"SMTOP_d01_wrfextr_CESM"	0.02	273.160004	273.160004	"100"	"0.01"
"SMTOP"	"SMTOP_d01_wrfextr_CNRM"	0.005	1	1	"10000"	"0.0001"
"STBOT"	"STBOT_d01_wrfextr_CESM"	167.723022	310.374023	310.374023	"100"	"0.01"
"STBOT"	"STBOT_d01_wrfextr_CNRM"	270.470398	310.358582	310.358582	"100"	"0.01"
"STTOP"	"STTOP_d01_wrfextr_CESM"	249.92366	1022.931335	1022.931335	"10"	"0.1"
"STTOP"	"STTOP_d01_wrfextr_CNRM"	267.442017	330.755127	330.755127	"10"	"0.1"
"SWDNBC"	"SWDNBC_d01_wrfextr_CESM"	0	1432.932617	1432.932617	"10"	"0.1"
"SWDNBC"	"SWDNBC_d01_wrfextr_CNRM"	0	3201.644775	3201.644775	"10"	"0.1"
"SWDNB"	"SWDNB_d01_wrfextr_CESM"	0	1304.288818	1304.288818	"10"	"0.1"
"SWDNB"	"SWDNB_d01_wrfextr_CNRM"	0	3201.644775	3201.644775	"10"	"0.1"
