"varOnly"	"varInFile"	"min"	"max"	"absMax"	"scale"	"scale.factorAtt"
"SWDNT"	"SWDNT_d01_wrfextr_CESM"	0	1365.882202	1365.882202	"10"	"0.1"
"SWDNT"	"SWDNT_d01_wrfextr_CNRM"	0	1365.88208	1365.88208	"10"	"0.1"
"SWUPBC"	"SWUPBC_d01_wrfextr_CESM"	0	394.067993	394.067993	"10"	"0.1"
"SWUPBC"	"SWUPBC_d01_wrfextr_CNRM"	0	596.943359	596.943359	"10"	"0.1"
"SWUPB"	"SWUPB_d01_wrfextr_CESM"	0	1007.104004	1007.104004	"10"	"0.1"
"SWUPB"	"SWUPB_d01_wrfextr_CNRM"	0	596.943359	596.943359	"10"	"0.1"
"SWUPTC"	"SWUPTC_d01_wrfextr_CESM"	0	388.950378	388.950378	"10"	"0.1"
"SWUPTC"	"SWUPTC_d01_wrfextr_CNRM"	0	655.448975	655.448975	"10"	"0.1"
"SWUPT"	"SWUPT_d01_wrfextr_CESM"	0	1108.912842	1108.912842	"10"	"0.1"
"SWUPT"	"SWUPT_d01_wrfextr_CNRM"	0	1110.724609	1110.724609	"10"	"0.1"
"T2"	"T2_d01_wrfextr_CESM"	0	318.602905	318.602905	"100"	"0.01"
"T2"	"T2_d01_wrfextr_CNRM"	264.704895	319.054504	319.054504	"100"	"0.01"
"T700"	"T700_d01_wrfextr_CESM"	0.000314	292.313568	292.313568	"100"	"0.01"
"T700"	"T700_d01_wrfextr_CNRM"	255.414291	294.042969	294.042969	"100"	"0.01"
"T850"	"T850_d01_wrfextr_CESM"	0.0043	304.701385	304.701385	"100"	"0.01"
"T850"	"T850_d01_wrfextr_CNRM"	258.397644	304.226257	304.226257	"100"	"0.01"
"TLML"	"TLML_d01_wrfextr_CESM"	0	384.743256	384.743256	"10"	"0.1"
"TLML"	"TLML_d01_wrfextr_CNRM"	265.559662	317.366302	317.366302	"100"	"0.01"
"TSK"	"TSK_d01_wrfextr_CESM"	0	339.931213	339.931213	"10"	"0.1"
"TSK"	"TSK_d01_wrfextr_CNRM"	261.509705	343.550598	343.550598	"10"	"0.1"
"UE10"	"UE10_d01_wrfextr_CESM"	-23.253185	28.408501	28.408501	"1000"	"0.001"
"UE10"	"UE10_d01_wrfextr_CNRM"	-25.522808	28.09181	28.09181	"1000"	"0.001"
"UE700"	"UE700_d01_wrfextr_CESM"	-33.745987	279.823608	279.823608	"100"	"0.01"
"UE700"	"UE700_d01_wrfextr_CNRM"	-32.618	46.582523	46.582523	"100"	"0.01"
"UE850"	"UE850_d01_wrfextr_CESM"	-27.00568	286.781036	286.781036	"100"	"0.01"
"UE850"	"UE850_d01_wrfextr_CNRM"	-37.154682	38.160534	38.160534	"100"	"0.01"
"VE10"	"VE10_d01_wrfextr_CESM"	-27.660378	27.672842	27.672842	"1000"	"0.001"
"VE10"	"VE10_d01_wrfextr_CNRM"	-26.269005	25.157902	25.157902	"1000"	"0.001"
"VE700"	"VE700_d01_wrfextr_CESM"	-29.982399	32.414402	32.414402	"1000"	"0.001"
"VE700"	"VE700_d01_wrfextr_CNRM"	-38.004387	42.791393	42.791393	"100"	"0.01"
"VE850"	"VE850_d01_wrfextr_CESM"	-34.096268	34.081863	34.081863	"100"	"0.01"
"VE850"	"VE850_d01_wrfextr_CNRM"	-34.109837	44.063904	44.063904	"100"	"0.01"
"W700"	"W700_d01_wrfextr_CESM"	-6.775995	6.58452	6.58452	"1000"	"0.001"
"W700"	"W700_d01_wrfextr_CNRM"	-1.255468	2.834729	2.834729	"10000"	"0.0001"
"W850"	"W850_d01_wrfextr_CESM"	-6.157946	5.971677	5.971677	"1000"	"0.001"
"W850"	"W850_d01_wrfextr_CNRM"	-1.119835	1.402045	1.402045	"10000"	"0.0001"
"Z850"	"Z850_d01_wrfextr_CESM"	-0.020727	1693.15918	1693.15918	"10"	"0.1"
"Z850"	"Z850_d01_wrfextr_CNRM"	1239.723022	1682.098267	1682.098267	"10"	"0.1"
