"V1","V2"
-107.4375,-107.375
-107.375,-107.3125
-107.3125,-107.25
-107.25,-107.1875
-107.1875,-107.125
-107.125,-107.0625
-107.0625,-107
-107,-106.9375
-106.9375,-106.875
-106.875,-106.8125
-106.8125,-106.75
-106.75,-106.6875
-106.6875,-106.625
-106.625,-106.5625
-106.5625,-106.5
-106.5,-106.4375
-106.4375,-106.375
-106.375,-106.3125
-106.3125,-106.25
-106.25,-106.1875
-106.1875,-106.125
-106.125,-106.0625
-106.0625,-106
-106,-105.9375
-105.9375,-105.875
-105.875,-105.8125
-105.8125,-105.75
-105.75,-105.6875
-105.6875,-105.625
-105.625,-105.5625
-105.5625,-105.5
-105.5,-105.4375
-105.4375,-105.375
-105.375,-105.3125
-105.3125,-105.25
-105.25,-105.1875
-105.1875,-105.125
-105.125,-105.0625
-105.0625,-105
-105,-104.9375
-104.9375,-104.875
-104.875,-104.8125
-104.8125,-104.75
-104.75,-104.6875
-104.6875,-104.625
-104.625,-104.5625
-104.5625,-104.5
-104.5,-104.4375
-104.4375,-104.375
-104.375,-104.3125
-104.3125,-104.25
-104.25,-104.1875
-104.1875,-104.125
-104.125,-104.0625
-104.0625,-104
-104,-103.9375
-103.9375,-103.875
-103.875,-103.8125
-103.8125,-103.75
-103.75,-103.6875
-103.6875,-103.625
-103.625,-103.5625
-103.5625,-103.5
-103.5,-103.4375
-103.4375,-103.375
-103.375,-103.3125
-103.3125,-103.25
-103.25,-103.1875
-103.1875,-103.125
-103.125,-103.0625
-103.0625,-103
-103,-102.9375
-102.9375,-102.875
-102.875,-102.8125
-102.8125,-102.75
-102.75,-102.6875
-102.6875,-102.625
-102.625,-102.5625
-102.5625,-102.5
-102.5,-102.4375
-102.4375,-102.375
-102.375,-102.3125
-102.3125,-102.25
-102.25,-102.1875
-102.1875,-102.125
-102.125,-102.0625
-102.0625,-102
-102,-101.9375
-101.9375,-101.875
-101.875,-101.8125
-101.8125,-101.75
-101.75,-101.6875
-101.6875,-101.625
-101.625,-101.5625
-101.5625,-101.5
-101.5,-101.4375
-101.4375,-101.375
-101.375,-101.3125
-101.3125,-101.25
-101.25,-101.1875
-101.1875,-101.125
-101.125,-101.0625
-101.0625,-101
-101,-100.9375
-100.9375,-100.875
-100.875,-100.8125
-100.8125,-100.75
-100.75,-100.6875
-100.6875,-100.625
-100.625,-100.5625
-100.5625,-100.5
-100.5,-100.4375
-100.4375,-100.375
-100.375,-100.3125
-100.3125,-100.25
-100.25,-100.1875
-100.1875,-100.125
-100.125,-100.0625
-100.0625,-100
-100,-99.9375
-99.9375,-99.875
-99.875,-99.8125
-99.8125,-99.75
-99.75,-99.6875
-99.6875,-99.625
-99.625,-99.5625
-99.5625,-99.5
-99.5,-99.4375
-99.4375,-99.375
-99.375,-99.3125
-99.3125,-99.25
-99.25,-99.1875
-99.1875,-99.125
-99.125,-99.0625
-99.0625,-99
-99,-98.9375
-98.9375,-98.875
-98.875,-98.8125
-98.8125,-98.75
-98.75,-98.6875
-98.6875,-98.625
-98.625,-98.5625
-98.5625,-98.5
-98.5,-98.4375
-98.4375,-98.375
-98.375,-98.3125
-98.3125,-98.25
-98.25,-98.1875
-98.1875,-98.125
-98.125,-98.0625
-98.0625,-98
-98,-97.9375
-97.9375,-97.875
