"fileName"	"varInFile"	"min"	"max"	"absMax"	"scale"	"scale.factorAtt"
"REGCM4_ACCESS_tas_1980to1989.nc"	"tas"	214.337051	320.877258	320.877258	"100"	"0.01"
"REGCM4_ACCESS_tas_1990to1999.nc"	"tas"	217.7164	321.104767	321.104767	"100"	"0.01"
"REGCM4_ACCESS_tas_2040to2049.nc"	"tas"	223.421936	326.279999	326.279999	"100"	"0.01"
"REGCM4_ACCESS_tas_2050to2059.nc"	"tas"	225.754837	323.965179	323.965179	"100"	"0.01"
"REGCM4_ACCESS_tas_2080to2089.nc"	"tas"	230.155304	325.548035	325.548035	"100"	"0.01"
"REGCM4_ACCESS_tas_2090to2099.nc"	"tas"	234.646194	326.122498	326.122498	"100"	"0.01"
"REGCM4_ACCESS_uas_1980to1989.nc"	"uas"	-33.502243	38.92453	38.92453	"100"	"0.01"
"REGCM4_ACCESS_uas_1990to1999.nc"	"uas"	-36.13628	35.260574	35.260574	"100"	"0.01"
"REGCM4_ACCESS_uas_2040to2049.nc"	"uas"	-37.904011	34.888912	34.888912	"100"	"0.01"
"REGCM4_ACCESS_uas_2050to2059.nc"	"uas"	-34.106483	36.227673	36.227673	"100"	"0.01"
"REGCM4_ACCESS_uas_2080to2089.nc"	"uas"	-35.710419	35.706387	35.706387	"100"	"0.01"
"REGCM4_ACCESS_uas_2090to2099.nc"	"uas"	-35.814953	37.473495	37.473495	"100"	"0.01"
"REGCM4_ACCESS_vas_1980to1989.nc"	"vas"	-32.658798	36.327255	36.327255	"100"	"0.01"
"REGCM4_ACCESS_vas_1990to1999.nc"	"vas"	-38.123085	34.425751	34.425751	"100"	"0.01"
"REGCM4_ACCESS_vas_2040to2049.nc"	"vas"	-35.704411	37.073792	37.073792	"100"	"0.01"
"REGCM4_ACCESS_vas_2050to2059.nc"	"vas"	-37.486183	38.504257	38.504257	"100"	"0.01"
"REGCM4_ACCESS_vas_2080to2089.nc"	"vas"	-37.647179	36.34824	36.34824	"100"	"0.01"
"REGCM4_ACCESS_vas_2090to2099.nc"	"vas"	-36.448307	41.917709	41.917709	"100"	"0.01"
"REGCM4_CNRM_evspsbl_1980to1989.nc"	"evspsbl"	-0.000124	0.000349	0.000349	"10000000"	"0.0000001"
"REGCM4_CNRM_evspsbl_1990to1999.nc"	"evspsbl"	-0.00015	0.000367	0.000367	"10000000"	"0.0000001"
"REGCM4_CNRM_evspsbl_2040to2049.nc"	"evspsbl"	-0.000116	0.000414	0.000414	"10000000"	"0.0000001"
"REGCM4_CNRM_evspsbl_2050to2059.nc"	"evspsbl"	-0.000171	0.000427	0.000427	"10000000"	"0.0000001"
"REGCM4_CNRM_evspsbl_2080to2089.nc"	"evspsbl"	-0.000234	0.000377	0.000377	"10000000"	"0.0000001"
