"fileName"      "varInFile"     "min"   "max"   "absMax"        "scale" "scale.factorAtt"
"REGCM4_IPSL_rsns_2090to2099.nc"	"rsns"	0	1020.499268	1020.499268	"10"	"0.1"
"REGCM4_IPSL_snv_1980to1989.nc"	"snv"	0	717.562683	717.562683	"10"	"0.1"
"REGCM4_IPSL_snv_1990to1999.nc"	"snv"	0	867.147766	867.147766	"10"	"0.1"
"REGCM4_IPSL_snv_2040to2049.nc"	"snv"	0	636.278625	636.278625	"10"	"0.1"
"REGCM4_IPSL_snv_2050to2059.nc"	"snv"	0	735.271423	735.271423	"10"	"0.1"
"REGCM4_IPSL_snv_2080to2089.nc"	"snv"	0	757.365601	757.365601	"10"	"0.1"
"REGCM4_IPSL_snv_2090to2099.nc"	"snv"	0	629.896545	629.896545	"10"	"0.1"
"REGCM4_IPSL_tas_1980to1989.nc"	"tas"	221.262848	319.995392	319.995392	"100"	"0.01"
"REGCM4_IPSL_tas_1990to1999.nc"	"tas"	223.919983	319.992279	319.992279	"100"	"0.01"
"REGCM4_IPSL_tas_2040to2049.nc"	"tas"	222.873154	323.276306	323.276306	"100"	"0.01"
"REGCM4_IPSL_tas_2050to2059.nc"	"tas"	229.434326	324.559296	324.559296	"100"	"0.01"
"REGCM4_IPSL_tas_2080to2089.nc"	"tas"	231.535675	326.803253	326.803253	"100"	"0.01"
"REGCM4_IPSL_tas_2090to2099.nc"	"tas"	232.797852	328.338867	328.338867	"10"	"0.1"
"REGCM4_IPSL_uas_1980to1989.nc"	"uas"	-33.19381	33.641006	33.641006	"100"	"0.01"
"REGCM4_IPSL_uas_1990to1999.nc"	"uas"	-29.657347	35.413685	35.413685	"100"	"0.01"
"REGCM4_IPSL_uas_2040to2049.nc"	"uas"	-30.425962	35.315098	35.315098	"100"	"0.01"
"REGCM4_IPSL_uas_2050to2059.nc"	"uas"	-36.013416	36.731651	36.731651	"100"	"0.01"
"REGCM4_IPSL_uas_2080to2089.nc"	"uas"	-34.34309	36.641167	36.641167	"100"	"0.01"
"REGCM4_IPSL_uas_2090to2099.nc"	"uas"	-34.294312	35.441956	35.441956	"100"	"0.01"
"REGCM4_IPSL_vas_1980to1989.nc"	"vas"	-31.914268	32.299137	32.299137	"1000"	"0.001"
