pr_day_I35prp1-PARM-B12D01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP2.6 downscaled by FUDGE icing-20190820 I35prp1-PARM-B12D01K00
pr_day_I35prp1-PARM-B12L01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP2.6 downscaled by FUDGE icing-20190820 I35prp1-PARM-B12L01K00
pr_day_I35prp1-PARM-B12P01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP2.6 downscaled by FUDGE icing-20190820 I35prp1-PARM-B12P01K00
pr_day_I35prp1-PARM-B14D01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP4.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B14D01K00
pr_day_I35prp1-PARM-B14L01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP4.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B14L01K00
pr_day_I35prp1-PARM-B14P01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP4.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B14P01K00
pr_day_I35prp1-PARM-B18D01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP8.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B18D01K00
pr_day_I35prp1-PARM-B18L01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP8.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B18L01K00
pr_day_I35prp1-PARM-B18P01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP8.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B18P01K00
pr_day_I35prp1-PARM-B20D01K00_historical_r1i1p1_I35Land_19810101-20051231.nc	MIROC5, historical downscaled by FUDGE icing-20190820 I35prp1-PARM-B20D01K00
pr_day_I35prp1-PARM-B20L01K00_historical_r1i1p1_I35Land_19810101-20051231.nc	MIROC5, historical downscaled by FUDGE icing-20190820 I35prp1-PARM-B20L01K00
pr_day_I35prp1-PARM-B20P01K00_historical_r1i1p1_I35Land_19810101-20051231.nc	MIROC5, historical downscaled by FUDGE icing-20190820 I35prp1-PARM-B20P01K00
pr_day_I35prp1-PARM-B22D01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP2.6 downscaled by FUDGE icing-20190820 I35prp1-PARM-B22D01K00
pr_day_I35prp1-PARM-B22L01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP2.6 downscaled by FUDGE icing-20190820 I35prp1-PARM-B22L01K00
pr_day_I35prp1-PARM-B22P01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP2.6 downscaled by FUDGE icing-20190820 I35prp1-PARM-B22P01K00
pr_day_I35prp1-PARM-B24D01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP4.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B24D01K00
pr_day_I35prp1-PARM-B24L01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP4.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B24L01K00
pr_day_I35prp1-PARM-B24P01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP4.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B24P01K00
pr_day_I35prp1-PARM-B28D01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP8.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B28D01K00
pr_day_I35prp1-PARM-B28L01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP8.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B28L01K00
pr_day_I35prp1-PARM-B28P01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP8.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B28P01K00
pr_day_I35prp1-PARM-B30D01K00_historical_r1i1p1_I35Land_19810101-20051231.nc	MPI-ESM-LR, historical downscaled by FUDGE icing-20190820 I35prp1-PARM-B30D01K00
pr_day_I35prp1-PARM-B30L01K00_historical_r1i1p1_I35Land_19810101-20051231.nc	MPI-ESM-LR, historical downscaled by FUDGE icing-20190820 I35prp1-PARM-B30L01K00
pr_day_I35prp1-PARM-B30P01K00_historical_r1i1p1_I35Land_19810101-20051231.nc	MPI-ESM-LR, historical downscaled by FUDGE icing-20190820 I35prp1-PARM-B30P01K00
pr_day_I35prp1-PARM-B32D01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP2.6 downscaled by FUDGE icing-20190820 I35prp1-PARM-B32D01K00
pr_day_I35prp1-PARM-B32L01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP2.6 downscaled by FUDGE icing-20190820 I35prp1-PARM-B32L01K00
pr_day_I35prp1-PARM-B32P01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP2.6 downscaled by FUDGE icing-20190820 I35prp1-PARM-B32P01K00
pr_day_I35prp1-PARM-B34D01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP4.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B34D01K00
pr_day_I35prp1-PARM-B34L01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP4.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B34L01K00
pr_day_I35prp1-PARM-B34P01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP4.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B34P01K00
pr_day_I35prp1-PARM-B38D01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP8.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B38D01K00
pr_day_I35prp1-PARM-B38L01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP8.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B38L01K00
pr_day_I35prp1-PARM-B38P01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP8.5 downscaled by FUDGE icing-20190820 I35prp1-PARM-B38P01K00
pr_day_I35prp1-QDM-A10D01K00_historical_r6i1p1_I35Land_19810101-20051231.nc	CCSM4, historical downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A10D01K00
pr_day_I35prp1-QDM-A10L01K00_historical_r6i1p1_I35Land_19810101-20051231.nc	CCSM4, historical downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A10L01K00
pr_day_I35prp1-QDM-A10P01K00_historical_r6i1p1_I35Land_19810101-20051231.nc	CCSM4, historical downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A10P01K00
pr_day_I35prp1-QDM-A12D01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP2.6 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A12D01K00
pr_day_I35prp1-QDM-A12L01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP2.6 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A12L01K00
pr_day_I35prp1-QDM-A12P01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP2.6 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A12P01K00
pr_day_I35prp1-QDM-A14D01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP4.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A14D01K00
pr_day_I35prp1-QDM-A14L01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP4.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A14L01K00
pr_day_I35prp1-QDM-A14P01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP4.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A14P01K00
pr_day_I35prp1-QDM-A18D01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP8.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A18D01K00
pr_day_I35prp1-QDM-A18L01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP8.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A18L01K00
pr_day_I35prp1-QDM-A18P01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc	CCSM4, RCP8.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A18P01K00
pr_day_I35prp1-QDM-A20D01K00_historical_r1i1p1_I35Land_19810101-20051231.nc	MIROC5, historical downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A20D01K00
pr_day_I35prp1-QDM-A20L01K00_historical_r1i1p1_I35Land_19810101-20051231.nc	MIROC5, historical downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A20L01K00
pr_day_I35prp1-QDM-A20P01K00_historical_r1i1p1_I35Land_19810101-20051231.nc	MIROC5, historical downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A20P01K00
pr_day_I35prp1-QDM-A22D01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP2.6 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A22D01K00
pr_day_I35prp1-QDM-A22L01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP2.6 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A22L01K00
pr_day_I35prp1-QDM-A22P01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP2.6 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A22P01K00
